,Titles,Year,Model,Make,Colour,Style,Condition,Price,Mileages,Dealer,City,Province,Posting Link,Image Link
13,"Used 2020 Toyota Corolla LE-ONLY 7,192 KMS! for sale in Cobourg, ON",2020,2020 Toyota Corolla,Toyota,White,Sedan,Used,25897.0,7192.0,Vandermeer Toyota,Cobourg,ON,https://www.carpages.ca/used-cars/ontario/cobourg/2020-toyota-corolla-10837248/,https://images.carpages.ca/inventory/10837248.389857470?w=320&h=240&q=75&s=f5cbc57c212b68957bad0d702760f37c
14,"New 2024 Mazda MAZDA3 GS Auto i-ACTIV AWD for sale in Steinbach, MB",2024,2024 Mazda MAZDA3,Mazda,Black,Sedan,New,34260.39,5.0,Highway Mazda,Steinbach,MB,https://www.carpages.ca/new-cars/manitoba/steinbach/2024-mazda-mazda3-10837233/,https://images.carpages.ca/inventory/10837233.389857416?w=320&h=240&q=75&s=2f264f154f5b8bb029d2ee4773bbe616
15,"Used 2017 Hyundai Sonata GL / WINTER TIRES / HEATED SEATS / BACKUP CAMERA for sale in Bolton, ON",2017,2017 Hyundai Sonata,Hyundai,Black,Sedan,Used,10888.0,200972.0,The Auto Show ,Bolton,ON,https://www.carpages.ca/used-cars/ontario/bolton/2017-hyundai-sonata-10837215/,https://images.carpages.ca/inventory/10837215.389856909?w=320&h=240&q=75&s=8d18030581a26a275e21397b6c2c2cc9
16,"Used 2018 Mazda MAZDA3 GT for sale in Cobourg, ON",2018,2018 Mazda MAZDA3,Mazda,Blue,Sedan,Used,14999.0,229339.0,Cobourg Mazda,Cobourg,ON,https://www.carpages.ca/used-cars/ontario/cobourg/2018-mazda-mazda3-10837200/,https://images.carpages.ca/inventory/10837200.389856159?w=320&h=240&q=75&s=ea051deacfc0f53dda48ee53b90ec976
17,"Used 2008 Lexus IS 250 AWD for sale in Bolton, ON",2008,2008 Lexus IS 250,Lexus,Silver,Sedan,Used,10488.0,174577.0,The Auto Show ,Bolton,ON,https://www.carpages.ca/used-cars/ontario/bolton/2008-lexus-is-250-10837170/,https://images.carpages.ca/inventory/10837170.389855769?w=320&h=240&q=75&s=fb15d7cd89b01826b77da12aa2f39468
18,"Used 2011 Mercedes-Benz C-Class C 250 for sale in Woodbridge, ON",2011,2011 Mercedes-Benz C-Class,Mercedes-Benz,White,Sedan,Used,13980.0,99678.0,Rideflex Auto Inc.,Woodbridge,ON,https://www.carpages.ca/used-cars/ontario/woodbridge/2011-mercedes-benz-c-class-10837155/,https://images.carpages.ca/inventory/10837155.389855346?w=320&h=240&q=75&s=d7914c63b30fb01a245324e5900837db
19,"Used 2009 Honda Civic DX-G / ALLOY WHEELS for sale in Bolton, ON",2009,2009 Honda Civic,Honda,Black,Sedan,Used,6888.0,129102.0,The Auto Show ,Bolton,ON,https://www.carpages.ca/used-cars/ontario/bolton/2009-honda-civic-10837149/,https://images.carpages.ca/inventory/10837149.389855610?w=320&h=240&q=75&s=db1e13f4a4234738b89a831a78a663b8
20,"Used 2019 Kia Forte EX for sale in Cayuga, ON",2019,2019 Kia Forte,Kia,Blue,Sedan,Used,17595.0,130359.0,Haldimand Motors Ltd.,Cayuga,ON,https://www.carpages.ca/used-cars/ontario/cayuga/2019-kia-forte-10836879/,https://images.carpages.ca/inventory/10836879.389851884?w=320&h=240&q=75&s=5c9ea85ad7b5c9d8e23218eec1fdb3fc
21,"Used 2021 Honda Civic SEDAN LX for sale in St. John's, NL",2021,2021 Honda Civic,Honda,Rallye Red,Sedan,Used,27989.0,55000.0,Steele Auto Group,St. John's,NL,https://www.carpages.ca/used-cars/newfoundland-and-labrador/st-john-s/2021-honda-civic-10836858/,https://images.carpages.ca/inventory/10836858.389851356?w=320&h=240&q=75&s=f62becb0495f6bb57d3ed92edf49345f
22,"Used 2010 Mercedes-Benz E-Class 4DR SDN E 350 4MATIC for sale in Etobicoke, ON",2010,2010 Mercedes-Benz E-Class,Mercedes-Benz,White,Sedan,Used,10350.0,153943.0,Quality Motors,Etobicoke,ON,https://www.carpages.ca/used-cars/ontario/etobicoke/2010-mercedes-benz-e-class-10836702/,https://images.carpages.ca/inventory/10836702.389854200?w=320&h=240&q=75&s=ccac07edc22b84b4ac941a6dbced713b
23,"Used 2013 Buick Verano 4DR SDN LEATHER for sale in Winnipeg, MB",2013,2013 Buick Verano,Buick,Pearl White,Sedan,Used,12950.0,109000.0,Westside Sales,Winnipeg,MB,https://www.carpages.ca/used-cars/manitoba/winnipeg/2013-buick-verano-10836690/,https://images.carpages.ca/inventory/10836690.389847258?w=320&h=240&q=75&s=a38a71610f985f435aece91642047c2a
24,"Used 2014 Dodge Avenger SXT, Automatic, Heated Seats, Power Seat, Alloys for sale in Edmonton, AB",2014,2014 Dodge Avenger,Dodge,White,Sedan,Used,13888.0,117888.0,Alberta Truck & Auto Liquidators,Edmonton,AB,https://www.carpages.ca/used-cars/alberta/edmonton/2014-dodge-avenger-10836621/,https://images.carpages.ca/inventory/10836621.389840148?w=320&h=240&q=75&s=ce43a9bc75fa369cde16fb8e268ce1ce
25,"Used 2021 Toyota Corolla LE CVT for sale in Brampton, ON",2021,2021 Toyota Corolla,Toyota,Black,Sedan,Used,23900.0,83700.0,#9 Auto Sales,Brampton,ON,https://www.carpages.ca/used-cars/ontario/brampton/2021-toyota-corolla-10836618/,https://images.carpages.ca/inventory/10836618.389839311?w=320&h=240&q=75&s=788b9de31025d643291b8bc1c7f4366c
26,"Used 2013 Toyota Corolla CE for sale in Hilden, NS",2013,2013 Toyota Corolla,Toyota,Silver,Sedan,Used,13995.0,124000.0,RuralWorx Auto Sales,Hilden,NS,https://www.carpages.ca/used-cars/nova-scotia/hilden/2013-toyota-corolla-10836540/,https://images.carpages.ca/inventory/10836540.389833629?w=320&h=240&q=75&s=c8930af04f9634780fb5f5cf861d160f
27,"New 2024 Volkswagen Jetta Highline  - Leather Seats for sale in Kanata, ON",2024,2024 Volkswagen Jetta,Volkswagen,Platinum Gray Metallic,Sedan,New,35419.0,90.0,Myers Automotive Group,Kanata,ON,https://www.carpages.ca/new-cars/ontario/kanata/2024-volkswagen-jetta-10836462/,https://images.carpages.ca/inventory/10836462.389825160?w=320&h=240&q=75&s=a2407ec0f915356afd8579499292621c
28,"Used 2019 Toyota Camry SE Auto for sale in Brampton, ON",2019,2019 Toyota Camry,Toyota,Black,Sedan,Used,19900.0,99700.0,#9 Auto Sales,Brampton,ON,https://www.carpages.ca/used-cars/ontario/brampton/2019-toyota-camry-10836459/,https://images.carpages.ca/inventory/10836459.389825013?w=320&h=240&q=75&s=686457ab2a10f563b06e121d448b5dc8
29,"Used 2020 Hyundai Elantra Essential  2 sets of tires!! for sale in Orleans, ON",2020,2020 Hyundai Elantra,Hyundai,Black,Sedan,Used,19500.0,79702.0,Myers Automotive Group,Orleans,ON,https://www.carpages.ca/used-cars/ontario/orleans/2020-hyundai-elantra-10836213/,https://images.carpages.ca/inventory/10836213.389818059?w=320&h=240&q=75&s=df39ee7ad19f19d54d532793a1ed3db7
30,"Used 2010 Mazda MAZDA3 AS IS for sale in Welland, ON",2010,2010 Mazda MAZDA3,Mazda,White,Sedan,Used,2999.0,230700.0,Shadow Auto,Welland,ON,https://www.carpages.ca/used-cars/ontario/welland/2010-mazda-mazda3-10836072/,https://images.carpages.ca/inventory/10836072.389810382?w=320&h=240&q=75&s=dc9efea3a9a9643ed4e13b7560d9a4a3
31,"New 2024 Cadillac CT4-V V-Series for sale in London, ON",2024,2024 Cadillac CT4-V,Cadillac,White,Sedan,New,54526.0,,MacMaster Chevrolet,London,ON,https://www.carpages.ca/new-cars/ontario/london/2024-cadillac-ct4-v-10835937/,https://images.carpages.ca/inventory/10835937.389794620?w=320&h=240&q=75&s=1532b5ed2ebaa77b54f6b67be0fb62d5
32,"New 2024 Hyundai Elantra N Line Ultimate for sale in Calgary, AB",2024,2024 Hyundai Elantra,Hyundai,Atlas White,Sedan,New,36190.0,18.0,Precision Hyundai,Calgary,AB,https://www.carpages.ca/new-cars/alberta/calgary/2024-hyundai-elantra-10835613/,https://images.carpages.ca/inventory/10835613.389771823?w=320&h=240&q=75&s=24620157417c31d3f5a663b65be795a9
33,"New 2024 Hyundai Elantra Luxury for sale in Calgary, AB",2024,2024 Hyundai Elantra,Hyundai,Abyss black,Sedan,New,33090.0,,Precision Hyundai,Calgary,AB,https://www.carpages.ca/new-cars/alberta/calgary/2024-hyundai-elantra-10835610/,https://images.carpages.ca/inventory/10835610.389771790?w=320&h=240&q=75&s=f9f038d7eec6a32221d7e47689ac10b9
34,"New 2024 Hyundai Elantra Preferred for sale in Calgary, AB",2024,2024 Hyundai Elantra,Hyundai,Cyber Grey,Sedan,New,31190.0,18.0,Precision Hyundai,Calgary,AB,https://www.carpages.ca/new-cars/alberta/calgary/2024-hyundai-elantra-10835607/,https://images.carpages.ca/inventory/10835607.389771766?w=320&h=240&q=75&s=4361295b2fb437bd80c7491e1915a254
35,"New 2024 Hyundai Elantra Luxury for sale in Calgary, AB",2024,2024 Hyundai Elantra,Hyundai,Ecotronic Gray,Sedan,New,33090.0,23.0,Precision Hyundai,Calgary,AB,https://www.carpages.ca/new-cars/alberta/calgary/2024-hyundai-elantra-10835604/,https://images.carpages.ca/inventory/10835604.389771748?w=320&h=240&q=75&s=3179f7572e731ae77ce37af3fc925015
36,"Used 2018 Hyundai Sonata GL for sale in Regina, SK",2018,2018 Hyundai Sonata,Hyundai,,Sedan,Used,22995.0,24123.0,Bennett Dunlop Ford,Regina,SK,https://www.carpages.ca/used-cars/saskatchewan/regina/2018-hyundai-sonata-10835511/,https://images.carpages.ca/inventory/10835511.389766750?w=320&h=240&q=75&s=98c6d371644d686550246d596439a9c9
37,"Used 2020 Honda Civic SEDAN LX for sale in Gander, NL",2020,2020 Honda Civic,Honda,Black,Sedan,Used,24995.0,53272.0,Steele Auto Group,Gander,NL,https://www.carpages.ca/used-cars/newfoundland-and-labrador/gander/2020-honda-civic-10835433/,https://images.carpages.ca/inventory/10835433.389763480?w=320&h=240&q=75&s=fffc6066e0a89dab51cd46e09d7864aa
38,"Used 2018 Toyota Corolla LE || ONE OWNER || BACK UP CAMERA for sale in North York, ON",2018,2018 Toyota Corolla,Toyota,White,Sedan,Used,17995.0,88850.0,Total Auto Sales,North York,ON,https://www.carpages.ca/used-cars/ontario/north-york/2018-toyota-corolla-10835319/,https://images.carpages.ca/inventory/10835319.389761731?w=320&h=240&q=75&s=96997c3ec6244c71197afc63120405c9
39,"Used 2020 Honda Civic LX - HTD SEATS - REVERSE CAM - HONDA SENSING for sale in Oakville, ON",2020,2020 Honda Civic,Honda,Black,Sedan,Used,21988.0,75000.0,Roger's Motors,Oakville,ON,https://www.carpages.ca/used-cars/ontario/oakville/2020-honda-civic-10835310/,https://images.carpages.ca/inventory/10835310.389760975?w=320&h=240&q=75&s=bbdaa63d8caaf4377d41a008464b0644
40,"Used 2010 Mazda MAZDA3 I Sport for sale in Mississauga, ON",2010,2010 Mazda MAZDA3,Mazda,,Sedan,Used,3500.0,287205.0,Danny and Sons Auto Sales,Mississauga,ON,https://www.carpages.ca/used-cars/ontario/mississauga/2010-mazda-mazda3-10835307/,https://images.carpages.ca/inventory/10835307.389760954?w=320&h=240&q=75&s=8f5b12764a4b3f9117aaad50b476547b
41,"Used 1998 Acura RL BASE for sale in Mississauga, ON",1998,1998 Acura RL,Acura,,Sedan,Used,3800.0,228199.0,Danny and Sons Auto Sales,Mississauga,ON,https://www.carpages.ca/used-cars/ontario/mississauga/1998-acura-rl-10835304/,https://images.carpages.ca/inventory/10835304.389760840?w=320&h=240&q=75&s=25170850857d23d9ee993b0bde3f66c8
42,"Used 2020 Honda Civic EX - SUNROOF - REVERSE CAM - TECH FEATURES for sale in Oakville, ON",2020,2020 Honda Civic,Honda,Gray,Sedan,Used,23888.0,75000.0,Roger's Motors,Oakville,ON,https://www.carpages.ca/used-cars/ontario/oakville/2020-honda-civic-10835298/,https://images.carpages.ca/inventory/10835298.389760741?w=320&h=240&q=75&s=f1778eb64095a23f8fbdf1c94b90d305
43,"Used 2015 Subaru WRX STI for sale in Mississauga, ON",2015,2015 Subaru WRX,Subaru,,Sedan,Used,25999.0,133457.0,Car Squad Ltd.,Mississauga,ON,https://www.carpages.ca/used-cars/ontario/mississauga/2015-subaru-wrx-10835277/,https://images.carpages.ca/inventory/10835277.389760222?w=320&h=240&q=75&s=1fcbbdf66615e60cf60fe136f6d778fd
44,"Used 2020 Toyota Corolla  for sale in North Bay, ON",2020,2020 Toyota Corolla,Toyota,Celestite Gray Metal,Sedan,Used,23647.0,44535.0,North Bay Toyota,North Bay,ON,https://www.carpages.ca/used-cars/ontario/north-bay/2020-toyota-corolla-10835169/,https://images.carpages.ca/inventory/10835169.389752047?w=320&h=240&q=75&s=cd02626c249284335468b90b313d0d3f
45,"Used 2015 Volkswagen Jetta GLI SE for sale in Yarmouth, NS",2015,2015 Volkswagen Jetta,Volkswagen,Red,Sedan,Used,20595.0,144227.0,Yarmouth Mazda,Yarmouth,NS,https://www.carpages.ca/used-cars/nova-scotia/yarmouth/2015-volkswagen-jetta-10835160/,https://images.carpages.ca/inventory/10835160.389749125?w=320&h=240&q=75&s=42d68912b7683bd95ccb86c91c1aaaaa
46,"Used 2022 Lexus ES 250  for sale in Langley, BC",2022,2022 Lexus ES 250,Lexus,Silver,Sedan,Used,43995.0,17444.0,King of Cars B.C. Ltd.,Langley,BC,https://www.carpages.ca/used-cars/british-columbia/langley/2022-lexus-es-250-10835124/,https://images.carpages.ca/inventory/10835124.389739063?w=320&h=240&q=75&s=e5604d452b17d67a783dd567d4bbfff6
47,"New 2024 Nissan Sentra S Plus CVT for sale in Orillia, ON",2024,2024 Nissan Sentra,Nissan,White,Sedan,New,26858.0,17.0,Experience Nissan,Orillia,ON,https://www.carpages.ca/new-cars/ontario/orillia/2024-nissan-sentra-10835115/,https://images.carpages.ca/inventory/10835115.389736348?w=320&h=240&q=75&s=46e8c9378e48c5a44fefa0cac4e7dd3d
48,"Used 2020 Nissan Altima 2.5 Platinum  - Leather Seats for sale in Ottawa, ON",2020,2020 Nissan Altima,Nissan,Black,Sedan,Used,28495.0,43789.0,Myers Automotive Group,Ottawa,ON,https://www.carpages.ca/used-cars/ontario/ottawa/2020-nissan-altima-10835046/,https://images.carpages.ca/inventory/10835046.389730237?w=320&h=240&q=75&s=5c9c0a41eee8f1a8b0215727f1bcff96
49,"Used 2012 Chevrolet Cruze LT for sale in Winnipeg, MB",2012,2012 Chevrolet Cruze,Chevrolet,Black,Sedan,Used,8988.0,133028.0,Carland,Winnipeg,MB,https://www.carpages.ca/used-cars/manitoba/winnipeg/2012-chevrolet-cruze-10834920/,https://images.carpages.ca/inventory/10834920.389725449?w=320&h=240&q=75&s=7893f96b0e4b00d25d77820e2bbcad3a
50,"Used 2014 Chevrolet Cruze 2LT Auto for sale in Winnipeg, MB",2014,2014 Chevrolet Cruze,Chevrolet,Red,Sedan,Used,9988.0,148137.0,Carland,Winnipeg,MB,https://www.carpages.ca/used-cars/manitoba/winnipeg/2014-chevrolet-cruze-10834917/,https://images.carpages.ca/inventory/10834917.389725386?w=320&h=240&q=75&s=7103a10142eaa8d82f4d6b0bd091fe7a
51,"New 2024 Hyundai Venue PREFERRED for sale in North Bay, ON",2024,2024 Hyundai Venue,Hyundai,DENIM BLUE W WHITE ROOF,Sedan,New,25524.0,25.0,Neddy's North Bay Hyundai,North Bay,ON,https://www.carpages.ca/new-cars/ontario/north-bay/2024-hyundai-venue-10834893/,https://images.carpages.ca/inventory/10834893.389724819?w=320&h=240&q=75&s=8baed265a2d5aedd4152757e468b4514
52,"Used 2020 Toyota Corolla Hybrid LE for sale in St. Catharines, ON",2020,2020 Toyota Corolla,Toyota,White,Sedan,Used,28998.0,85750.0,CMH AUTO SUPERSTORE,St. Catharines,ON,https://www.carpages.ca/used-cars/ontario/st-catharines/2020-toyota-corolla-10834881/,https://images.carpages.ca/inventory/10834881.389723943?w=320&h=240&q=75&s=d0a7d61bb15e7fdd3ddf9e6997acf719
53,"Used 2016 Honda Civic Sedan EX for sale in St. Catharines, ON",2016,2016 Honda Civic,Honda,White,Sedan,Used,19498.0,98230.0,CMH AUTO SUPERSTORE,St. Catharines,ON,https://www.carpages.ca/used-cars/ontario/st-catharines/2016-honda-civic-10834872/,https://images.carpages.ca/inventory/10834872.389723934?w=320&h=240&q=75&s=5ed194ca0a52ff0a700f5375fe4fbbeb
54,"Used 2011 Lincoln MKX LEATHER|BACK UP|BLIND SPOT|HEATED SEATS|R.STARTER for sale in North York, ON",2011,2011 Lincoln MKX,Lincoln,Dark Blue,Sedan,Used,9888.0,156994.0,Elegant Auto,North York,ON,https://www.carpages.ca/used-cars/ontario/north-york/2011-lincoln-mkx-10834821/,https://images.carpages.ca/inventory/10834821.389721981?w=320&h=240&q=75&s=035a4698cd013bbe46a32bc916251789
55,"Used 2011 Infiniti G Sedan G25X|LEATHER|ROOF|BACKUP|HEATED SEATS|IMMACULATE CONDITION for sale in North York, ON",2011,2011 Infiniti G Sedan,Infiniti,White,Sedan,Used,9888.0,154975.0,Elegant Auto,North York,ON,https://www.carpages.ca/used-cars/ontario/north-york/2011-infiniti-g-sedan-10834812/,https://images.carpages.ca/inventory/10834812.389721972?w=320&h=240&q=75&s=0d6a0d6db01f49a8682d18c275732829
56,"Used 2015 Volkswagen Jetta Sedan |MANUAL|HEATED SEATS|REAR VIEW CAMERA|ALLOYS| for sale in Brampton, ON",2015,2015 Volkswagen Jetta,Volkswagen,Grey,Sedan,Used,13698.0,203902.0,Nawab Motors,Brampton,ON,https://www.carpages.ca/used-cars/ontario/brampton/2015-volkswagen-jetta-10834806/,https://images.carpages.ca/inventory/10834806.389721675?w=320&h=240&q=75&s=94432b10f3de4fa1e3218a03af0f1ff0
57,"Used 2022 Dodge Charger GT|AWD|HEATED SEATS|ALPINE AUDIO SYSTEM|UCONNECT|ALLOYS for sale in Brampton, ON",2022,2022 Dodge Charger,Dodge,Blue,Sedan,Used,44698.0,55653.0,Nawab Motors,Brampton,ON,https://www.carpages.ca/used-cars/ontario/brampton/2022-dodge-charger-10834803/,https://images.carpages.ca/inventory/10834803.389721639?w=320&h=240&q=75&s=ab02ead97fa39e4d3f144a12cbfc31c4
58,"Used 2022 Dodge Charger GT|AWD|HEATED SEATS|ALPINE AUDIO SYSTEM|UCONNECT|ALLOYS| for sale in Brampton, ON",2022,2022 Dodge Charger,Dodge,Grey,Sedan,Used,42698.0,45353.0,Nawab Motors,Brampton,ON,https://www.carpages.ca/used-cars/ontario/brampton/2022-dodge-charger-10834800/,https://images.carpages.ca/inventory/10834800.389721603?w=320&h=240&q=75&s=a8a94b38cacf06607ab5dabedae5471c
59,"Used 2013 Mazda MAZDA3 GX for sale in Winnipeg, MB",2013,2013 Mazda MAZDA3,Mazda,Sky Blue Mica,Sedan,Used,12891.0,78530.0,Birchwood Lexus,Winnipeg,MB,https://www.carpages.ca/used-cars/manitoba/winnipeg/2013-mazda-mazda3-10834770/,https://images.carpages.ca/inventory/10834770.389721174?w=320&h=240&q=75&s=ae1f00f0343c14c8f553a4145e766685
60,"New 2024 Toyota Crown Platinum Factory Order - Custom for sale in Winnipeg, MB",2024,2024 Toyota Crown,Toyota,Bronze Age w/Black,Sedan,New,65283.0,1.0,Birchwood Toyota,Winnipeg,MB,https://www.carpages.ca/new-cars/manitoba/winnipeg/2024-toyota-crown-10834752/,https://images.carpages.ca/inventory/10834752.389721141?w=320&h=240&q=75&s=9a7c123f6ff5e22b0dbdf7a1cca2809c
61,"New 2024 Toyota Crown Limited Factory Order - Custom for sale in Winnipeg, MB",2024,2024 Toyota Crown,Toyota,Black,Sedan,New,55603.0,1.0,Birchwood Toyota,Winnipeg,MB,https://www.carpages.ca/new-cars/manitoba/winnipeg/2024-toyota-crown-10834749/,https://images.carpages.ca/inventory/10834749.389721138?w=320&h=240&q=75&s=a99f4fbec1d5287f1d095c2d12262b39
62,"Used 2021 Hyundai Sonata N-Line for sale in Markham, ON",2021,2021 Hyundai Sonata,Hyundai,Glowing Yellow Met,Sedan,Used,31995.0,39011.0,Markham Acura,Markham,ON,https://www.carpages.ca/used-cars/ontario/markham/2021-hyundai-sonata-10834569/,https://images.carpages.ca/inventory/10834569.389719287?w=320&h=240&q=75&s=fb3509df1e12ebc4bf38c1991af06796
63,"Used 2013 Dodge Avenger  for sale in Barrie, ON",2013,2013 Dodge Avenger,Dodge,Black,Sedan,Used,8449.0,139677.0,Barrie Chrysler Dodge Jeep Ram Ltd.,Barrie,ON,https://www.carpages.ca/used-cars/ontario/barrie/2013-dodge-avenger-10834443/,https://images.carpages.ca/inventory/10834443.389716635?w=320&h=240&q=75&s=59e7754b8de08671136b87264f786aeb
64,"Used 2022 Honda Civic Touring for sale in Barrie, ON",2022,2022 Honda Civic,Honda,Silver,Sedan,Used,35487.0,17044.0,Barrie Chrysler Dodge Jeep Ram Ltd.,Barrie,ON,https://www.carpages.ca/used-cars/ontario/barrie/2022-honda-civic-10834434/,https://images.carpages.ca/inventory/10834434.389716593?w=320&h=240&q=75&s=4400839084e4965a9cc95058fb0d2981
65,"Used 2019 Chevrolet Cruze LT - 6AT for sale in Steinbach, MB",2019,2019 Chevrolet Cruze,Chevrolet,White,Sedan,Used,22995.0,73816.0,Highway Mazda,Steinbach,MB,https://www.carpages.ca/used-cars/manitoba/steinbach/2019-chevrolet-cruze-10834344/,https://images.carpages.ca/inventory/10834344.389713707?w=320&h=240&q=75&s=51631fab434d42d44db90a51c0e356f6
66,"Used 2018 Audi RS 3 2.5T | Ara Blue for sale in Etobicoke, ON",2018,2018 Audi RS 3,Audi,Blue,Sedan,Used,53800.0,63344.0,World Fine Cars,Etobicoke,ON,https://www.carpages.ca/used-cars/ontario/etobicoke/2018-audi-rs-3-10834287/,https://images.carpages.ca/inventory/10834287.389711982?w=320&h=240&q=75&s=778983804b02570021f48146c90291b5
67,"Used 2020 Honda Accord Sport Apple CarPlay | Android Auto | Bluetooth for sale in Winnipeg, MB",2020,2020 Honda Accord,Honda,Lunar Silver Metallic,Sedan,Used,36426.0,28173.0,Birchwood Honda West,Winnipeg,MB,https://www.carpages.ca/used-cars/manitoba/winnipeg/2020-honda-accord-10834254/,https://images.carpages.ca/inventory/10834254.389711334?w=320&h=240&q=75&s=37aa580576e0295388496c2c900c5e89
